Car_Age_Years,Kms_Driven,Engine_CC,Mileage_kmpl,Num_Owners,Resale_Value
6,74645.75930193154,1200,18.09932066763316,3,460505.62188871077
3,76560.73704725031,1500,19.993402748479042,3,546128.250421519
12,64540.28023493979,1000,21.75769341866291,3,340669.4659312852
14,51987.77475467855,1200,19.440161304297913,3,229590.89522407367
10,35654.31159801382,1500,18.206003232407223,3,315559.0663229742
7,68450.18193757535,1000,18.92574575222648,2,443319.96436806873
12,43488.310757449726,1200,17.410433913426726,2,304642.4793121435
4,49330.520628591934,800,18.07222875697928,2,449864.539969653
6,51201.53880655922,1800,18.289727275718366,3,506611.7629656446
9,57036.97161454548,1000,16.42674948639373,3,421816.6511712677
2,48614.39329187028,1500,18.042347173755754,1,626259.8703812346
6,60501.88156488454,1000,18.73420370500786,2,436206.81945511384
10,50672.72549240413,1500,19.0340337951511,3,305710.1944397329
10,70520.59597258834,1000,18.87464756485863,3,359831.4158862164
7,75465.9437098208,1500,15.321949563851252,3,418665.01987604867
4,61628.14014042658,1200,20.458517885199313,1,513204.38507716317
3,66939.39503071654,800,20.29256245490763,3,404887.0721423932
7,91767.83924438835,1200,17.80770318356242,1,427196.0588814926
7,42410.95114708026,800,18.91101739021087,1,437725.8367360046
2,41497.97848079841,1200,17.566892465782985,2,459001.33783344284
5,70424.96851165312,1200,19.503915325622934,3,484200.4019570244
4,89198.14256272148,1000,16.37145630773326,1,536248.9675071118
1,56092.52157091916,1800,20.68492119058185,3,565634.0852092631
7,85902.5076332814,1500,19.404415223635915,2,425029.51771075913
11,61446.50578190235,1500,19.450867583137782,2,376470.4646192191
13,49786.69076941378,1500,17.789894247148364,1,385804.4286360652
5,45139.61417043445,800,15.174762990134614,2,407949.64708091575
1,69441.20377330181,1500,19.76786940024154,2,624537.2593132185
11,46275.61398325955,1500,15.240877330194898,2,301379.41644852667
4,61219.15264150542,1000,19.79194532044909,3,393169.4511438577
0,83751.9753807614,1200,16.455745566335555,3,546253.3486018288
11,55398.29410692945,1500,14.825902691938792,1,422992.38814629515
9,79710.14211965849,1800,18.00199940742706,1,440173.86464203306
5,41781.8476541039,1500,20.365601101076813,2,530229.3028110301
12,51991.363480248,800,16.068792503162626,2,242562.67351504252
11,38892.83960677625,800,21.198069248789654,1,348641.99640401953
8,61094.95133960036,800,19.31348108766135,2,419578.9148703065
0,71701.17269574874,1500,18.313519044731752,1,675744.1496395799
10,61127.80631409279,1000,17.128751487521775,3,315234.18919371505
10,78405.75089955228,1800,17.26820529641038,2,360044.2885767917
14,48762.311390563045,1500,18.86033445750178,2,303317.0901724854
9,63380.14130533601,1000,19.69208171703812,2,372209.456638915
11,52087.96014579215,1000,16.813007564695823,3,357166.11202445475
11,65425.14878135483,1500,16.386973345430462,3,237329.8739634787
14,67556.04069318638,1500,17.572346363156267,2,265331.8163978826
13,68735.93939976094,1000,20.78725735171469,1,384423.9719613724
13,43941.08492646597,1000,15.566223319327065,3,312736.481384448
14,46653.80847320147,1000,20.284955289485545,2,274042.2747679659
13,49435.684377132166,1500,18.084559663186266,2,416455.87386215484
2,56416.78878200104,1000,14.694521713682771,3,419206.6130289763
11,61307.79606309645,800,17.076735196868636,1,265114.3373558767
6,70621.33682785014,1500,19.219336145880547,2,511858.853807673
3,47278.51950991152,800,21.603627890081523,1,585906.8693958985
8,35984.710534473714,1200,15.345254553236865,1,511944.8679915801
